Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
6.276602952012173e-08,0.041572359999999996,7.920160219521846e-07,1.4814268078626193e-11,3.5849066016998214e-07,2.1432069806329844e-55,1.9820683612683245e-07,0.938,8.305177345776684e-27,0.003361795959279012,2.0321375096587702e-13,7.059958541443442e-09,5.166671901017905e-05,0.0,0.0,0.02118652361931465,0.008318951795514859,0.049999934899072576,9.476802619813332e-25,3.7948114262412873e-48,0.001947541249950389,4.646107876312596e-56
6.300669860292461e-08,0.041572359999999996,7.94585510522842e-07,1.490574262204528e-11,3.5967003518879466e-07,2.2087405172556344e-55,1.973524378047402e-07,0.938,8.44701488131409e-27,0.0033719638098050697,2.0534776241657656e-13,7.0886518087903066e-09,5.164187493979214e-05,0.0,0.0,0.021176377689606833,0.008313867007059455,0.04999993541738904,9.706713849395419e-25,3.873625471508722e-48,0.0019475635244385963,4.805077036106165e-56
6.324736768572749e-08,0.041572359999999996,7.971591037221851e-07,1.499764065543359e-11,3.6084810115843005e-07,2.2760455487627632e-55,1.9650316936431281e-07,0.938,8.59077231323128e-27,0.0033821157213573473,2.074981860972262e-13,7.117253485694325e-09,5.161706767372308e-05,0.0,0.0,0.021166247654234176,0.008308790188369924,0.049999935936548175,9.941472354905893e-25,3.9537831656051664e-48,0.0019475857580174177,4.968898632826201e-56
6.348803676853037e-08,0.041572359999999996,7.997367115356362e-07,1.5089963731926914e-11,3.62024859832291e-07,2.345164036671671e-55,1.95659015638039e-07,0.938,8.73646943093093e-27,0.0033922517354429862,2.0966511686450095e-13,7.145762400428202e-09,5.159229724573787e-05,0.0,0.0,0.021156133471760354,0.008303721318711703,0.04999993645651138,1.018116653104658e-24,4.0353026669357364e-48,0.0019476079507430996,5.137703622140914e-56
6.372870585133326e-08,0.041572359999999996,8.023182442997648e-07,1.518271339283878e-11,3.6320031296012417e-07,2.4161388067358736e-55,1.9481996097226326e-07,0.938,8.884126174252533e-27,0.0034023718934177855,2.1184864997782531e-13,7.17417740302856e-09,5.1567563684474615e-05,0.0,0.0,0.021146035100905656,0.008298660377425684,0.0499999369772405,1.0425886167807522e-24,4.1182023208226463e-48,0.0019476301026766652,5.311626056966341e-56
6.396937493413614e-08,0.041572359999999996,8.0490361271637e-07,1.527589116760069e-11,3.6437446228803235e-07,2.489013564322273e-55,1.939859892408454e-07,0.938,9.033762634292016e-27,0.003412476236486914,2.1404888109830169e-13,7.202497365465829e-09,5.154286701364735e-05,0.0,0.0,0.021135952500546003,0.008293607343927853,0.049999937498697744,1.067572246954925e-24,4.2025006609245965e-48,0.0019476522138836979,5.49080315116903e-56
6.421004401693902e-08,0.041572359999999996,8.074927278662574e-07,1.5369498573705052e-11,3.655473095584867e-07,2.563832910022345e-55,1.9315708385870448e-07,0.938,9.185399054222841e-27,0.003422564805705618,2.1626590628761337e-13,7.2307211818000214e-09,5.151820725224209e-05,0.0,0.0,0.02112588562971202,0.008288562197708947,0.04999993802084576,1.0930768074305312e-24,4.288216410663905e-48,0.0019476742844341287,5.675375344400735e-56
6.44507130997419e-08,0.041572359999999996,8.100855012227e-07,1.546353711665065e-11,3.667188565103384e-07,2.6406423555003026e-55,1.9233322779524168e-07,0.938,9.3390558301184e-27,0.0034326376419799207,2.1849982200690388e-13,7.258847768322472e-09,5.1493584414705834e-05,0.0,0.0,0.02111583444758815,0.0082835249183341,0.04999993854364762,1.1191117073306973e-24,4.3753684846613604e-48,0.001947696314402036,5.8654863680823e-56
6.469138218254479e-08,0.041572359999999996,8.126818446645871e-07,1.5558008289890767e-11,3.6788910487883107e-07,2.7194883395811963e-55,1.915144035876371e-07,0.938,9.494753511775839e-27,0.003442694786067321,2.2075072511563132e-13,7.286876063683742e-09,5.1468998511128336e-05,0.0,0.0,0.021105798913511713,0.00827849548544249,0.049999939067066776,1.145686503073199e-24,4.463975990178813e-48,0.0019477183038654497,6.061283312554224e-56
6.493205126534767e-08,0.041572359999999996,8.152816704892535e-07,1.5652913574783917e-11,3.6905805639561265e-07,2.800418244581963e-55,1.9070059335401661e-07,0.938,9.652512803541104e-27,0.0034527362785774863,2.2301871287039974e-13,7.314805029007805e-09,5.1444449547417e-05,0.0,0.0,0.02109577898697201,0.008273473878746997,0.04999993959106711,1.1728109003679352e-24,4.554058228569543e-48,0.0019477402529061631,6.262916695411452e-56
