Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45),H2(20)
1.2347432229809493e-09,0.03159427132446203,4.967501714862727e-07,0.938,0.0,0.0,0.021191531700088192,0.009996315801771889,0.04998909046900936,9.837709521296194e-64,5.384442829749162e-73,0.001998747275505265,2.029891761052876e-88,3.565147677149251e-89,1.0668794135447338e-05,5.857150890924558e-44,7.590151579483097e-06,1.0657729220015179e-26,1.8981731991045933e-08,1.2184663014567281e-06,3.425819327806117e-08,1.4793186358846192e-18,4.082936549814187e-86,4.35802266765424e-62,1.3858713351160419e-49,1.2654617497511958e-16
1.2410249770312872e-09,0.03159427132446203,4.992060169392689e-07,0.938,0.0,0.0,0.021191467242110535,0.0099962970766998,0.04998907228485325,1.0245139526453124e-63,5.505603261830507e-73,0.0019987409076733485,2.1001455773188007e-88,3.645354245757636e-89,1.068581484668515e-05,5.961744032479988e-44,7.62881414706735e-06,1.0825494665255929e-26,1.8932753452633128e-08,1.2247541561981043e-06,3.4338170452029853e-08,1.4909841408905982e-18,4.222298488807062e-86,4.4278013273412395e-62,1.4363954867407924e-49,1.284580127461735e-16
1.2535884851319632e-09,0.03159427132446203,5.041161666649969e-07,0.938,0.0,0.0,0.021191338842694616,0.009996259627001826,0.049989036430504924,1.1104923743869886e-63,5.753742176243033e-73,0.001998728172151427,2.2465421371592644e-88,3.809617199437585e-89,1.0719343341921266e-05,6.174744973611392e-44,7.706137053204474e-06,1.1166770318022745e-26,1.883509634951417e-08,1.2373288916524302e-06,3.449895691899941e-08,1.5144782959129723e-18,4.512531230854927e-86,4.569243437743352e-62,1.5422862795570244e-49,1.3233847474579554e-16
1.2648956424225716e-09,0.03159427132446203,5.085335631488911e-07,0.938,0.0,0.0,0.021191223862656563,0.009996225922780653,0.049989004738113976,1.1932553742545378e-63,5.983794732834651e-73,0.001998716710343138,2.385234171784235e-88,3.9619054015213605e-89,1.0748943630101071e-05,6.370839820453066e-44,7.775725140857528e-06,1.1480551990405619e-26,1.8747553801830194e-08,1.2486450515312722e-06,3.4644605330347766e-08,1.5358107422183668e-18,4.7872872292915644e-86,4.698692701987961e-62,1.6433505515402241e-49,1.358961137318172e-16
1.27620279971318e-09,0.03159427132446203,5.129493332970114e-07,0.938,0.0,0.0,0.02119110942132001,0.009996192219038011,0.049988973581688585,1.2814190600111566e-63,6.220325829575654e-73,0.001998705248687422,2.530746672622112e-88,4.118480300819668e-89,1.077800903809826e-05,6.571147630611804e-44,7.84531084827395e-06,1.1800712571111141e-26,1.8660349073342063e-08,1.2599601766114294e-06,3.4791135965353216e-08,1.5573229217558334e-18,5.0753580139234066e-86,4.8301829776341055e-62,1.7501520104456185e-49,1.395160806384411e-16
1.2875099570037883e-09,0.03159427132446203,5.173634966116297e-07,0.938,0.0,0.0,0.021190995508995298,0.009996158515772183,0.04998894295156234,1.3752888281444072e-63,6.463436941782683e-73,0.0019986937871839345,2.6833267636081047e-88,4.279408952498762e-89,1.0806549214911144e-05,6.775717026074237e-44,7.91489418948657e-06,1.2127344240037487e-26,1.8573488954470216e-08,1.2712742757776774e-06,3.493854028677651e-08,1.5790166754539273e-18,5.377218448147119e-86,4.963716929211485e-62,1.862970175882095e-49,1.4319889346776755e-16
1.2988171142943967e-09,0.03159427132446203,5.217760723870461e-07,0.938,0.0,0.0,0.021190882116167344,0.009996124812981505,0.04998891283824311,1.4751849033753942e-63,6.713229677129745e-73,0.0019986823258323337,2.843227191045286e-88,4.444758496086543e-89,1.083457363547274e-05,6.984596819068915e-44,7.984475178492918e-06,1.2460540251717191e-26,1.8486979965548357e-08,1.2825873578982268e-06,3.508680976772362e-08,1.600893847308193e-18,5.693354026359027e-86,5.09929712713326e-62,1.9820961909092384e-49,1.4694506990410134e-16
1.310124271585005e-09,0.03159427132446203,5.261870797091417e-07,0.938,0.0,0.0,0.021190769233492498,0.009996091110664327,0.049988883232410006,1.5814429530509202e-63,6.969805771265484e-73,0.001998670864632282,3.010706377971479e-88,4.614596152556195e-89,1.0862091603792021e-05,7.197836018178048e-44,8.05405382925314e-06,1.2800394945323352e-26,1.8400828361063532e-08,1.2938994318231642e-06,3.5235935893318316e-08,1.622956284297537e-18,6.024260977759827e-86,5.236926059129382e-62,2.1078332352047423e-49,1.50755127320649e-16
1.3214314288756134e-09,0.03159427132446203,5.305965374550553e-07,0.938,0.0,0.0,0.021190656851795473,0.009996057408819037,0.04998885412491012,1.6944147236730998e-63,7.233267083999607e-73,0.0019986594035834534,3.186028479608685e-88,4.788989221787209e-89,1.0889112256037624e-05,7.415483834497015e-44,8.12363015568795e-06,1.3147003754676904e-26,1.8315040133958745e-08,1.305210506382902e-06,3.538591016236134e-08,1.6452058363003611e-18,6.370446372424311e-86,5.3766061414175565e-62,2.240496951122047e-49,1.546295827860722e-16
1.3327385861662218e-09,0.03159427132446203,5.350044642929788e-07,0.938,0.0,0.0,0.021190544962066297,0.00999602370744405,0.04998882550675569,1.814468699738433e-63,7.503715596032342e-73,0.0019986479426855235,3.369463439980813e-88,4.968005080386497e-89,1.0915644563566395e-05,7.63758968783489e-44,8.193204171676581e-06,1.3500463218254323e-26,1.8229621019991152e-08,1.316520590386642e-06,3.5536724088975736e-08,1.6676443560105495e-18,6.732428229796661e-86,5.518339729605268e-62,2.3804158827252934e-49,1.5856895307090204e-16
