Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45),H2(20),H2X(38),N2X(46)
2.306513553860894e-10,0.05842168493353951,4.2311415759283976e-07,0.938,0.0,0.0,0.03921880798872099,0.00999906310384995,0.049998619051835815,5.02454588249473e-37,6.439514192204097e-44,0.0019997099770665315,2.5563778806860744e-54,1.4346302865087575e-52,1.1552381467104729e-06,4.477996645776415e-29,2.0151223889945707e-06,1.9659609589625246e-17,8.437992864667414e-08,2.3394873251347397e-07,5.607408830082304e-08,1.1263662844703127e-13,9.573197511649654e-56,1.6706216209513542e-39,1.2979961536226692e-31,1.2294089235891116e-13,8.294326331625117e-15,1.942948532949892e-35
2.3207977811120614e-10,0.05842168493353951,4.2607090158186567e-07,0.938,0.0,0.0,0.039218790256476246,0.009999057302413373,0.0499986175078771,5.283145028391417e-37,6.681931926388168e-44,0.001999708348397782,2.706394352606937e-54,1.4909909061031776e-52,1.1554128649542676e-06,4.579917400442757e-29,2.0280096758962785e-06,2.0028941208160304e-17,8.446475538163699e-08,2.3527430760762302e-07,5.6377180553579534e-08,1.140385034234489e-13,1.0068294885069507e-55,1.7234930590865423e-39,1.355594628766946e-31,1.254614905410444e-13,8.421608762176533e-15,2.0338681094913977e-35
2.3350820083632287e-10,0.05842168493353951,4.290284610022358e-07,0.938,0.0,0.0,0.03921877253149911,0.009999051500985406,0.049998615970040856,5.5533331820794325e-37,6.931682307074432e-44,0.001999706721672364,2.864070396110656e-54,1.549128124212183e-52,1.1555818398233623e-06,4.683357900064411e-29,2.0408986432855188e-06,2.0402867563020758e-17,8.454750529205364e-08,2.3659844246941433e-07,5.667976969862858e-08,1.1544891318638796e-13,1.0585210545448256e-55,1.7776103548947258e-39,1.4153705366417667e-31,1.2801732906780063e-13,8.549880935581041e-15,2.1284229387296399e-35
2.3493662356143963e-10,0.05842168493353951,4.319868068365867e-07,0.938,0.0,0.0,0.03921875481362786,0.009999045699566049,0.04999861443813848,5.835553372235671e-37,7.188930561305191e-44,0.0019997050968881755,3.029738169035672e-54,1.6090836238389595e-52,1.1557452595231171e-06,4.788327658239951e-29,2.0537892599261533e-06,2.078141677098017e-17,8.462821004776506e-08,2.379211374073348e-07,5.6981857530110333e-08,1.1686785411673092e-13,1.1124737014813685e-55,1.832992051129747e-39,1.4773920306246087e-31,1.30608662175927e-13,8.679141322813673e-15,2.2267337780404376e-35
2.363650462865564e-10,0.05842168493353951,4.3494591052593335e-07,0.938,0.0,0.0,0.03921873710270648,0.009999039898155296,0.049998612911987476,6.130262671788617e-37,7.453844261956257e-44,0.0019997034740431136,3.203741636593745e-54,1.670899705179435e-52,1.1559033060916711e-06,4.894836135409937e-29,2.066681495030477e-06,2.1164616939828955e-17,8.470690087919785e-08,2.392423927286893e-07,5.7283445842906656e-08,1.1829532259383094e-13,1.1687689333509905e-55,1.889656777568652e-39,1.5417289579955047e-31,1.3323574395008015e-13,8.809388371125727e-15,2.3289245831994275e-35
2.3779346901167314e-10,0.05842168493353951,4.3790574396316693e-07,0.938,0.0,0.0,0.03921871939858443,0.00999903409675315,0.04999861139141132,6.437932552118446e-37,7.726593337888462e-44,0.001999701853135077,3.386436896273941e-54,1.734619288488173e-52,1.1560561556020095e-06,5.0028927392580023e-29,2.0795753182533065e-06,2.1552496168367987e-17,8.478360858300934e-08,2.405622087399273e-07,5.75845364323159e-08,1.197313149958615e-13,1.2274905515691494e-55,1.947623249694558e-39,1.6084528911931461e-31,1.358988283188944e-13,8.940620504784332e-15,2.4351225715967335e-35
2.392218917367899e-10,0.05842168493353951,4.40866279486637e-07,0.938,0.0,0.0,0.03921870170111653,0.009999028295359605,0.04999860987623928,6.759049243903031e-37,8.007350083942209e-44,0.001999700234161963,3.5781925089542105e-54,1.8002859169007567e-52,1.1562039783574145e-06,5.112506825123006e-29,2.0924706996861483e-06,2.19450825464033e-17,8.48583635276668e-08,2.418805857469604e-07,5.788513109373698e-08,1.2117582770015567e-13,1.288724701015276e-55,2.0069102673939265e-39,1.6776371594479167e-31,1.3859816905115394e-13,9.072836125798819e-15,2.545458286273964e-35
2.4065031446190665e-10,0.05842168493353951,4.438274898738178e-07,0.938,0.0,0.0,0.0392186840101627,0.009999022493974661,0.04999860836630615,7.094114104675173e-37,8.296289170777409e-44,0.001999698617121672,3.7793898362680985e-54,1.8679437592132987e-52,1.1563469390805456e-06,5.223687696421667e-29,2.105367609851425e-06,2.2342404154741846e-17,8.493119565896077e-08,2.431975240554696e-07,5.818523162236225e-08,1.226288570835362e-13,1.3525599166500323e-55,2.067536713668444e-39,1.7493568807930523e-31,1.4133401975206553e-13,9.206033614633979e-15,2.660065660786463e-35
2.420787371870234e-10,0.05842168493353951,4.467893483350563e-07,0.938,0.0,0.0,0.03921866632558783,0.009999016692598317,0.049998606861452126,7.44364399319107e-37,8.593587654560109e-44,0.001999697002012104,3.990423384306722e-54,1.9376376126193868e-52,1.1564851970963232e-06,5.336444605081181e-29,2.1182660196967814e-06,2.2744489065188348e-17,8.500213450545371e-08,2.4451302397120503e-07,5.8484839812879344e-08,1.2409039952263543e-13,1.4190871706619861e-55,2.1295215533617687e-39,1.823688994457148e-31,1.4410663385963134e-13,9.340211330910351e-15,2.779082084898236e-35
2.4350715991214017e-10,0.05842168493353951,4.497518285074037e-07,0.938,0.0,0.0,0.03921864864726158,0.00999901089123057,0.04999860536152265,7.808171650697184e-37,8.899424986497566e-44,0.0019996953888311584,4.211701153723133e-54,2.0094129054049327e-52,1.1566189065088115e-06,5.450786751981287e-29,2.1311659005894545e-06,2.3151365340543206e-17,8.507120918386432e-08,2.4582708580027433e-07,5.878395745918136e-08,1.2556045139420634e-13,1.4883999201439625e-55,2.192883831901353e-39,1.900712293640432e-31,1.4691626464111949e-13,9.47536761409169e-15,2.9026484711152236e-35
