Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45)
4.587536430830905e-10,0.0357716342693874,2.490097526879666e-07,0.938,0.0,0.0,0.02400733650773362,0.009998542338075468,0.04999486607784266,1.6783664733682622e-59,1.525129333682401e-66,0.0019995045386454005,4.439296536144522e-81,9.156417688302663e-81,4.999526031261833e-06,3.873782975642537e-41,2.998588308361404e-06,2.199655679691662e-25,5.113166682628467e-08,4.6411218731987255e-07,3.134916727444172e-08,7.16499777618288e-18,7.654360871011257e-80,6.648738039992935e-57,2.492195350579623e-47
4.6097568175677775e-10,0.0357716342693874,2.502132450551986e-07,0.938,0.0,0.0,0.02400730789446166,0.009998535280434385,0.04999485518183462,1.7451743204276348e-59,1.5720661197340736e-66,0.001999502140156029,4.648550603036951e-81,9.438308628007879e-81,5.00980571399547e-06,3.9502416916718656e-41,3.013298658578159e-06,2.2301877270915244e-25,5.11529240922382e-08,4.6651857768817276e-07,3.134126627707957e-08,7.213784533493214e-18,7.994099975470221e-80,6.810659137044917e-57,2.576759563153821e-47
4.63197720430465e-10,0.0357716342693874,2.514164629072953e-07,0.938,0.0,0.0,0.024007279357157893,0.009998528222815082,0.049994844361464466,1.8142423550398973e-59,1.6201417115794798e-66,0.001999499741678864,4.86623434154209e-81,9.727041128284864e-81,5.02001008206459e-06,4.027720213826594e-41,3.028009090152012e-06,2.260958906775383e-25,5.1173733204512614e-08,4.689250320570924e-07,3.133328907305526e-08,7.262547348809403e-18,8.346640810719555e-80,6.975409190469523e-57,2.663680489187128e-47
4.6541975910415223e-10,0.0357716342693874,2.526194055477209e-07,0.938,0.0,0.0,0.024007250895271,0.009998521165217518,0.049994833616180304,1.8856333757096828e-59,1.6693759235480352e-66,0.0019994973432138955,5.092627528113182e-81,1.0022734260463593e-80,5.030139687001348e-06,4.106225042039715e-41,3.0427195967922507e-06,2.291969547819492e-25,5.11941009116682e-08,4.7133154512095696e-07,3.1325240976949486e-08,7.311286006330904e-18,8.712377047257016e-80,7.143016119461045e-57,2.7530092975352206e-47
4.676417977778395e-10,0.0357716342693874,2.538220722957521e-07,0.938,0.0,0.0,0.024007222508253708,0.009998514107641647,0.04999482294543428,1.9594115401985285e-59,1.7197887644728698e-66,0.0019994949447611162,5.328017129031799e-81,1.0325508264932692e-80,5.0401950762990195e-06,4.1857626593178404e-41,3.057430172365959e-06,2.3232199780866134e-25,5.1214033803633783e-08,4.737381117164809e-07,3.131712716090093e-08,7.360000306221512e-18,9.091711583764574e-80,7.31350784188259e-57,2.844797947705626e-47
4.698638364515267e-10,0.0357716342693874,2.550244624861325e-07,0.938,0.0,0.0,0.024007194195562735,0.00999850705008743,0.04999481234868254,2.035642386461965e-59,1.7714004376738824e-66,0.001999492546320516,5.572697425959373e-81,1.0635484551033664e-80,5.050176793441581e-06,4.266339531637304e-41,3.07214081089419e-06,2.354710524289455e-25,5.12335383155669e-08,4.761447268193154e-07,3.1308952658059345e-08,7.408690064171006e-18,9.485056689040543e-80,7.486912272174796e-57,2.9390991971057186e-47
4.720858751252139e-10,0.0357716342693874,2.5622657546873483e-07,0.938,0.0,0.0,0.024007165956658763,0.009998499992554819,0.0499948018253852,2.1143928537779986e-59,1.8242313409262856e-66,0.0019994901478920866,5.826970142411172e-81,1.0952785696867703e-80,5.060085377933061e-06,4.347962107842141e-41,3.086851506548234e-06,2.3864415120526087e-25,5.125262073162786e-08,4.785513855406713e-07,3.130072236596198e-08,7.457355110967366e-18,9.892834144675795e-80,7.663257319278402e-57,3.035966608316552e-47
4.743079137989012e-10,0.0357716342693874,2.574284106082351e-07,0.938,0.0,0.0,0.02400713779100641,0.00999849293504377,0.04999479137500635,2.195731304067658e-59,1.878302066414729e-66,0.0019994877494758194,6.091144571139965e-81,1.1277535449015828e-80,5.06992136532669e-06,4.4306368195438894e-41,3.101562253645956e-06,2.4184132659730303e-25,5.1271287188669864e-08,4.809580831240186e-07,3.12924410498348e-08,7.505995292079213e-18,1.0315475388457757e-79,7.84257088457066e-57,3.135454556392712e-47
4.765299524725884e-10,0.0357716342693874,2.586299672837923e-07,0.938,0.0,0.0,0.0240071096980742,0.009998485877554239,0.04999478099701399,2.2797275434082986e-59,1.9336334006731066e-66,0.0019994853510717056,6.365537702416323e-81,1.1609858722172804e-80,5.079685287253842e-06,4.5143700810231626e-41,3.1162730466482267e-06,2.450626109679072e-25,5.1289543679846174e-08,4.833648149418586e-07,3.1284113345819694e-08,7.554610467248395e-18,1.0753421658485834e-79,8.024880859815473e-57,3.237618236188369e-47
4.787519911462757e-10,0.0357716342693874,2.5983124488873855e-07,0.938,0.0,0.0,0.02400708167733454,0.00999847882008619,0.04999477069088001,2.366452843740352e-59,1.9902463245101408e-66,0.0019994829526797367,6.650474353192383e-81,1.1949881598695483e-80,5.089377671452734e-06,4.599168289132954e-41,3.1309838801554337e-06,2.4830803658881397e-25,5.1307396058136065e-08,4.857715764925707e-07,3.127574376412932e-08,7.603200510092406e-18,1.1207124137981601e-79,8.210215125127214e-57,3.3425136697097186e-47
4.809740298199629e-10,0.0357716342693874,2.610322428302767e-07,0.938,0.0,0.0,0.02400705372826369,0.009998471762639573,0.049994760456080166,2.4559799647682284e-59,2.0481620129208335e-66,0.001999480554299904,6.946287297135641e-81,1.2297731328066159e-80,5.0989990417969505e-06,4.685037823203613e-41,3.145694748904068e-06,2.515776356462952e-25,5.132485003979124e-08,4.881783633973274e-07,3.1267336692130585e-08,7.651765307716524e-18,1.1677044100777046e-79,8.398601546948121e-57,3.450197713493982e-47
4.831960684936501e-10,0.0357716342693874,2.6223296052918593e-07,0.938,0.0,0.0,0.024007025850341732,0.00999846470521435,0.04999475029209406,2.5483831760560627e-59,2.1074018349838814e-66,0.0019994781559321984,7.253317395519187e-81,1.2653536326271409e-80,5.108549918323743e-06,4.771985044949475e-41,3.1604056477633885e-06,2.5487144024664833e-25,5.1341911207703886e-08,4.905851713970813e-07,3.1258896397358384e-08,7.700304760335404e-18,1.2163653057463984e-79,8.590067976039243e-57,3.5607280660151734e-47
4.854181071673374e-10,0.0357716342693874,2.634333974195356e-07,0.938,0.0,0.0,0.024006998043052546,0.009998457647810476,0.0499947401984051,2.6437382793190206e-59,2.1679873537451527e-66,0.001999475757576613,7.571913728954533e-81,1.3017426175097085e-80,5.118030817262121e-06,4.860016298377067e-41,3.1751165717321685e-06,2.5818948242155866e-25,5.135858501469807e-08,4.929919963496214e-07,3.125042703046072e-08,7.748818780903966e-18,1.2667432902187536e-79,8.784642245484818e-57,3.674163275116805e-47
4.876401458410246e-10,0.0357716342693874,2.646335529484064e-07,0.938,0.0,0.0,0.024006970305883765,0.009998450590427916,0.04999473017450045,2.7421226309108744e-59,2.229940326087319e-66,0.0019994733592331383,7.902433729953054e-81,1.338953162133999e-80,5.127442251060736e-06,4.949137909694906e-41,3.1898275159355105e-06,2.615317941333337e-25,5.1374876786745915e-08,4.953988342266929e-07,3.12419326280767e-08,7.797307294757359e-18,1.3188876060066519e-79,8.982352168710067e-57,3.790562745471737e-47
