Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2(13)
1.943116417961537e-06,0.0505958752244895,6.69401581040416e-07,1.1959265648103297e-08,7.726172208893766e-07,4.2473268419626867e-38,6.719302162913981e-05,0.938,5.497554562862366e-19,0.018382984745169403,1.5259317934617682e-07,1.8171281676289815e-09,2.3375492138842666e-06,0.0,0.0,0.015514610267360113,0.0008366916700684668,0.04994285748034464,3.0629934598066382e-24,1.4241719090077875e-30,0.0019968284967600827,2.617442157976447e-36,2.334803288107116e-05
1.9486892526790024e-06,0.0505958752244895,6.694385329677728e-07,1.2028676811480465e-08,7.722445252608571e-07,4.306409139915794e-38,6.711594722085634e-05,0.938,5.536798751283357e-19,0.01839031276312208,1.5354940296527136e-07,1.8174446845065454e-09,2.3364599911693636e-06,0.0,0.0,0.01550735972283084,0.0008330240354448639,0.04994286510401828,3.1048887626114466e-24,1.4371343871797515e-30,0.0019968285233960873,2.6562863483965688e-36,2.3380841171494716e-05
1.954262087396468e-06,0.0505958752244895,6.694751770873935e-07,1.2098482665383186e-08,7.718738277298307e-07,4.366250525570816e-38,6.703928968691913e-05,0.938,5.576277578019881e-19,0.01839760190711042,1.5451105853217825e-07,1.8177606651782317e-09,2.335376541590635e-06,0.0,0.0,0.015500147622102028,0.0008293758743757257,0.04994287265254976,3.1473106292609888e-24,1.4501893054345204e-30,0.001996828538740126,2.6956534545597583e-36,2.3413522557781996e-05
1.9598349221139337e-06,0.0505958752244895,6.695115107673483e-07,1.2168685347698406e-08,7.715051142018951e-07,4.4268602733722596e-38,6.696304696147123e-05,0.938,5.615992395926148e-19,0.018404852446031406,1.554781772542846e-07,1.8180760886657516e-09,2.334298824688938e-06,0.0,0.0,0.015492973698366407,0.0008257470522835824,0.04994288012621117,3.190265367581175e-24,1.463337216217088e-30,0.0019968285428019423,2.7355500537677185e-36,2.3446077862524102e-05
1.9654077568313993e-06,0.0505958752244895,6.695475314724886e-07,1.2239287008674675e-08,7.711383707152209e-07,4.4882477676965796e-38,6.68872169808283e-05,0.938,5.655944565396243e-19,0.018412064646316714,1.5645079050800622e-07,1.8183909345140042e-09,2.3332268003819434e-06,0.0,0.0,0.015485837687279076,0.0008221374358210379,0.0499428875252796,3.2337593592121418e-24,1.476578675157168e-30,0.00199682853559063,2.7759828027555796e-36,2.3478507902376855e-05
1.970980591548865e-06,0.0505958752244895,6.695832367623976e-07,1.2310289810981637e-08,7.707735834389604e-07,4.55042250412838e-38,6.681179768366606e-05,0.938,5.696135454405999e-19,0.01841923877196151,1.5742892983977777e-07,1.8187051827827597e-09,2.3321604289596544e-06,0.0,0.0,0.015478739326928464,0.0008185468928564228,0.049942894850037056,3.2777990604583287e-24,1.4899142410869418e-30,0.001996828517114629,2.816958438626138e-36,2.351081348809733e-05
1.9765534262663305e-06,0.0505958752244895,6.696186242893725e-07,1.238169592976986e-08,7.704107386716792e-07,4.6133940907512576e-38,6.673678701120355e-05,0.938,5.7365664385551e-19,0.018426375084552908,1.5841262696704745e-07,1.8190188140385425e-09,2.331099671079996e-06,0.0,0.0,0.015471678357807758,0.0008149752924596511,0.04994290210077034,3.3223910031482445e-24,1.5033444760589027e-30,0.001996828487381735,2.858483779794898e-36,2.3542995424580348e-05
1.982126260983796e-06,0.0505958752244895,6.696536917964411e-07,1.2453507552730964e-08,7.700498228398092e-07,4.6771722494533474e-38,6.666218290738156e-05,0.938,5.777238901109362e-19,0.018433473843297972,1.594019137792758e-07,1.8193318093467184e-09,2.330044487764475e-06,0.0,0.0,0.015464654522786732,0.000811422504888277,0.049942909277770856,3.367541795504013e-24,1.5168699453638021e-30,0.0019968284463991086,2.9005657269459975e-36,2.357505451089501e-05
1.987699095701262e-06,0.0505958752244895,6.696884371154077e-07,1.2525726880158063e-08,7.696908224961262e-07,4.741766817247806e-38,6.658798331903707e-05,0.938,5.818154233043293e-19,0.018440535305051287,1.6039682233894004e-07,1.8196441502634854e-09,2.3289948403938843e-06,0.0,0.0,0.015457667567083931,0.0008078884015737498,0.04994291638133461,3.413258123020833e-24,1.530491217548694e-30,0.0019968283941732734,2.9432112639991878e-36,2.3606991540321123e-05
1.9932719304187274e-06,0.0505958752244895,6.697228581649393e-07,1.2598356125006541e-08,7.693337243182484e-07,4.807187747608496e-38,6.651418619607292e-05,0.938,5.859313833082903e-19,0.01844755972434222,1.6139738488254246e-07,1.8199558188280503e-09,2.327950690704082e-06,0.0,0.0,0.01545071723823932,0.0008043728551078628,0.049942923411761944,3.45954674935644e-24,1.544208864435079e-30,0.001996828330710125,2.986427459087949e-36,2.363880730038568e-05
1.998844765136193e-06,0.0505958752244895,6.697569529486748e-07,1.2671397512955135e-08,7.689785151071551e-07,4.87344511182084e-38,6.644078949162355e-05,0.938,5.900719107748679e-19,0.01845454735340177,1.6240363382162389e-07,1.8202667975551039e-09,2.3269120007818284e-06,0.0,0.0,0.015443803286087264,0.0008008757392293922,0.04994293036935757,3.506414517230712e-24,1.5580234611371508e-30,0.0019968282560149362,3.0302214655489095e-36,2.3670502572899243e-05
2.0044175998536587e-06,0.0505958752244895,6.697907195533689e-07,1.2744853282467358e-08,7.686251817857311e-07,4.940549100348112e-38,6.63677911622164e-05,0.938,5.942371471398855e-19,0.018461498442189004,1.6341560174378148e-07,1.8205770694271093e-09,2.3258787330606737e-06,0.0,0.0,0.015436925462729909,0.0007973969288109248,0.049942937254430324,3.553868349335492e-24,1.5719355860801417e-30,0.0019968281700923607,3.0746005229226574e-36,2.3702078133992302e-05
