Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45),H2(20),H2X(38)
2.071078249449549e-05,0.04836553141748826,7.800998904086637e-05,0.938,0.0,0.0,0.014077659366549285,0.0008973277552663195,0.049897088422245855,2.5328342853679806e-09,-7.16025231813572e-27,0.001992648356642111,1.513623512870383e-30,1.5510918860691255e-41,8.375513412213331e-07,2.962320182484898e-19,0.0183074173296431,2.6944923792006133e-07,1.1862371824049626e-09,3.803868389557906e-06,7.577610274630415e-07,3.450726880678674e-08,4.257967226776602e-32,2.386013152657053e-28,1.2404958827811212e-06,6.754702558054031e-05,6.80609839902126e-08
2.0754657974338542e-05,0.04836553141748826,7.794388181354869e-05,0.938,0.0,0.0,0.014072366317290702,0.000894597538365166,0.04989719985074886,2.5481919294496372e-09,-7.160145739162394e-27,0.001992638088226049,-6.96472639107364e-30,1.8098733240529937e-41,8.372382986255999e-07,2.9702649852956275e-19,0.018312766647889066,2.699906133059288e-07,1.1863331198613296e-09,3.802449668657296e-06,7.577690350750196e-07,3.456684749308679e-08,-3.123132640450109e-31,-6.766860886888753e-28,1.2460196127761498e-06,6.748654310850006e-05,6.797446980703759e-08
2.0798533454181595e-05,0.04836553141748826,7.787803101074629e-05,0.938,0.0,0.0,0.01406709349703293,0.0008918776682405053,0.04989731109995144,2.5636037629663345e-09,-7.160245150706367e-27,0.0019926277911031048,-4.5134465812652005e-31,1.271788550914962e-41,8.369264551573851e-07,2.978210975548792e-19,0.018318095450683358,2.7053192669118796e-07,1.1864290377629703e-09,3.801036355234531e-06,7.577769610372855e-07,3.462641992365139e-08,-9.94771958404772e-32,5.309920638416117e-28,1.2515550132371584e-06,6.742614533065128e-05,6.788818436126607e-08
2.0842408934024648e-05,0.04836553141748826,7.781243534638076e-05,0.938,0.0,0.0,0.014061840802564979,0.0008891680924864094,0.04989742217013584,2.5790698305280913e-09,-7.1604225471975e-27,0.00199261746530524,4.07194001784075e-29,4.785469450415361e-42,8.366158046921957e-07,2.9861581425821027e-19,0.018323403842561717,2.71073178287096e-07,1.1865249344915467e-09,3.79962842082221e-06,7.577848052989449e-07,3.468598610812091e-08,2.7309910529024095e-30,-3.4594649930639043e-28,1.2571020822869143e-06,6.736583260920791e-05,6.780212716160833e-08
2.08862844138677e-05,0.04836553141748826,7.77470935425022e-05,0.938,0.0,0.0,0.0140566081313813,0.000886468759052545,0.049897533061586896,2.594590176550078e-09,-7.160882870360175e-27,0.0019926071108642145,-2.4720861880017636e-29,-1.3577330012756607e-41,8.363063411474658e-07,2.9941064686794236e-19,0.018328691927346055,2.716143683033162e-07,1.1866208084464298e-09,3.7982258371512648e-06,7.577925678147323e-07,3.474554605609035e-08,-3.8356947069885284e-31,-3.0640363876105557e-27,1.2626608180495279e-06,6.730560529969858e-05,6.771629771541836e-08
2.0930159893710754e-05,0.04836553141748826,7.768200432923258e-05,0.938,0.0,0.0,0.01405139538167561,0.000883779616241084,0.049897643774591965,2.6101648452530515e-09,-7.16138765026964e-27,0.0019925967278115763,2.928686519165524e-30,-3.2751452377695403e-41,8.359980584821879e-07,3.0020559433228196e-19,0.018333959808150717,2.7215549694792557e-07,1.1867166580670665e-09,3.7968285761520036e-06,7.578002485464731e-07,3.480509977713267e-08,-1.6847770284633012e-31,-1.042235069785944e-28,1.2682312186504465e-06,6.724546375104703e-05,6.763069552874144e-08
2.0963043449082205e-05,0.04836553141748826,7.763338645884357e-05,0.938,0.0,0.0,0.014047501558060945,0.0008817708221896328,0.04989772663435735,2.6218733030683892e-09,-7.161405010700224e-27,0.0019925889272391687,5.5512509756020986e-30,-3.24707411546401e-41,8.357677790415222e-07,3.0080146219362316e-19,0.018337894766695874,2.725610189829205e-07,1.1867884780309593e-09,3.7957848373515615e-06,7.578059514218949e-07,3.484972969863643e-08,3.176154546556124e-31,7.132686049896862e-28,1.2724137383808986e-06,6.720044562134453e-05,6.756668756099201e-08
2.0995927004453656e-05,0.04836553141748826,7.75849092343813e-05,0.938,0.0,0.0,0.014043618825456745,0.0008797677019945715,0.04989780939417312,2.633612317788595e-09,-7.161212642914287e-27,0.0019925811106260103,-2.0125135387489312e-29,-2.437312584451266e-41,8.355381570333289e-07,3.0139739330802128e-19,0.01834181847682041,2.7296650674711045e-07,1.1868602828042895e-09,3.7947440610368187e-06,7.578116083265776e-07,3.4894356131789614e-08,-8.010604515684892e-31,-1.677461363600479e-27,1.276602808551788e-06,6.715547599878295e-05,6.750280676058486e-08
2.1028810559825107e-05,0.04836553141748826,7.753657213003444e-05,0.938,0.0,0.0,0.01403974714176426,0.0008777702342751278,0.04989789205416301,2.6453819078162166e-09,-7.16118710693602e-27,0.0019925732779851623,8.66632215791388e-30,-2.320118392322245e-41,8.353091899596125e-07,3.0199338693217213e-19,0.018345730981164696,2.7337196032635564e-07,1.1869320717573494e-09,3.7937062356058078e-06,7.578172192500063e-07,3.49389790806013e-08,-7.577302253456086e-32,-3.4048766522943035e-28,1.280798428375429e-06,6.711055502311468e-05,6.743905291821604e-08
2.1061694115196558e-05,0.04836553141748826,7.748837462247172e-05,0.938,0.0,0.0,0.014035886465098749,0.0008757783977584245,0.049897974614451404,2.6571820914929453e-09,-7.161227951475255e-27,0.001992565429329623,2.7210756927528104e-30,-2.4632423732523134e-41,8.350808753350975e-07,3.025894434149034e-19,0.018349632322152545,2.7377737980603166e-07,1.1870038442591713e-09,3.792671349518009e-06,7.578227841834038e-07,3.4983598549078376e-08,1.479992077541649e-31,8.763038498224165e-28,1.2850005970645563e-06,6.706568283209459e-05,6.737542582421929e-08
